artist,bio,listeners,playcount,similar_artist
Teejayx6,"Dallas Antoino-Karine Asberry (born August 28, 2001), known professionally as Teejayx6, is an American rapper from Detroit, Michigan, known for his breakout single “Dark Web,” which first gained popularity through internet memes. 

Teejay is best known for being the founder of the ""Scam Rap"" subgenre. 

Teejayx6 is also known for his beef with rival scam rapper, Punchmade Dev. This beef originated in 2020 on an Instagram Live. In early 2022, Punchmade Dev uploaded a video of him pressing Teejayx6 in a mall which went viral on social media. <a href=""https://www.last.fm/music/Teejayx6"">Read more on Last.fm</a>",89649,1687676,"['Kasher Quon', 'Punchmade Dev', 'ShittyBoyz', 'BabyTron', 'Ot7 QUANNY']"
Xoel López," <a href=""https://www.last.fm/music/+noredirect/Xoel+L%C3%B3pez"">Read more on Last.fm</a>",35796,981995,"['Iván Ferreiro', 'Vetusta Morla', 'Sidonie', 'Lori Meyers', 'La Habitación Roja']"
Allman Brown,"Allman Brown is a singer/songwriter from London, United Kingdom.  

Allman Brown is an artist who has played shows all over London, New York and Paris. He has worked with many talented people, most recently the lovely Lowell and Liz Lawrence. He is currently planning a release of an EP with Akira Records



http://www.allmanbrown.com/ <a href=""https://www.last.fm/music/Allman+Brown"">Read more on Last.fm</a>",162723,1176625,"['Dustin Tebbutt', 'Andrew Belle', 'Roo Panes', 'Tom Francis', 'Jessie Reid']"
Coque Malla," <a href=""https://www.last.fm/music/Coque+Malla"">Read more on Last.fm</a>",34306,424230,"['Ariel Rot', 'Rubén Pozo', 'Juan Perro', 'Le Punk', 'Los Enemigos']"
Kraak & Smaak,"Since the Dutch trio of producers Kraak & Smaak released their first album 'Boogie Angst' worldwide in 2005, the  act has steadily grown into a well-respected force in today's international producers, club and festival scene.

Their set-up, combining the club sound of their releases with live musicians and  vocalists, turned out to be a musical phenomenon on the Dutch circuit, leading to invitations to play at Europe’s festivals and renowned USA hotspots like SXSW, Coachella, Miami's WMC and New York's CMJ. <a href=""https://www.last.fm/music/Kraak+&+Smaak"">Read more on Last.fm</a>",402700,4540863,"['Franc Moody', 'Poolside', 'Crazy P', 'Flight Facilities', 'Meeka Kates']"
Roméo Elvis,"



 <a href=""https://www.last.fm/music/Rom%C3%A9o+Elvis"">Read more on Last.fm</a>",87124,2271960,"['Lomepal', 'Nekfeu', 'Georgio', ""L'or du commun"", 'Caballero']"
Ana Belén,"Ana Belén (born Maria del Pilar Cuesta on May 27, 1951 in Madrid, Spain) is one of the most relevant Spanish personalities in arts and music. With a musical career that spanned over the last 40 years she has also accomplished a great success as an actress, in feature films, television and theatre.

She sang in public for the first time in a radio contest at the age of ten. She didn't win that year, but won the next year. Her early singing caught <a href=""https://www.last.fm/music/+noredirect/Ana+Bel%C3%A9n"">Read more on Last.fm</a>",92060,800338,"['Luz Casal', 'Pedro Guerra', 'Joan Manuel Serrat', 'Amaral', 'Joaquín Sabina']"
Naive New Beaters," <a href=""https://www.last.fm/music/Naive+New+Beaters"">Read more on Last.fm</a>",89919,872278,"['Møme', 'Synapson', 'Julien Doré', 'Pony Pony Run Run', 'Yuksek']"
McCafferty,"McCafferty is a dance punk project, started by Nicholas “Nick” Hartkop as a solo project. Formed in 2012, the band has had a tumultuous history, repeatedly breaking up and rejoining. The most recent break up in 2020 shedded the rest of the original full-band line-up that joined Hartkop, as allegations of abuse from Hartkop surfaced from now former band members, who formed their new band Sister Sandy afterwards. As a response to this, McCafferty released the song “Isn’t it beautiful?”. <a href=""https://www.last.fm/music/MCCAFFERTY"">Read more on Last.fm</a>",542233,28154900,"['The Front Bottoms', 'The Flat Stanleys', 'Adjust the Sails', 'Lincoln', ""Panucci's Pizza""]"
James Mercer,"James Mercer is currently the lead singer/songwriter for the Shins and Broken Bells, a project with DJ Danger Mouse (Gnarls Barkley, producer of Beck and Gorillaz). Prior to The Shins and Broken Bells, he was the lead singer/songwriter of Flake, which later became Flake Music.

There is a rare solo recording on January 7, 2004 of Mercer doing some private recordings of hit songs by his band The Shins for a radio station.

 <a href=""https://www.last.fm/music/James+Mercer"">Read more on Last.fm</a>",27800,248830,"['Love As Laughter', 'Alec Ounsworth', 'Benjamin Gibbard & Andrew Kenny', 'Hotel Lights', 'The Bens']"
Oscar Lang,"Oscar Lang is a British indie rock artist born May 4th, 2000 in London. He got signed to the UK label Dirty Hit in 2017 and began releasing music under the moniker pig. In early 2019 he dropped that name and went ahead releasing music under his real name. After releasing a few EPs and a mixtape, his debut album Chew the Scenery was released in mid-2021. <a href=""https://www.last.fm/music/Oscar+Lang"">Read more on Last.fm</a>",669557,9199573,"['Strawberry Guy', 'Current Joys', 'Matt Maltese', 'Breakup Shoes', 'The Walters']"
Shinova,"Shinova is a Spanish alternative rock and indie rock band formed in 2008 in Berriz, Biscay, Spain. The quartet is made up of Gabriel de la Rosa (vocals), Daniel del Valle (guitar), Erlantz Prieto (guitar), and Joshua F.G. (drums).

Early in their career, their music was closer to hard rock and alternative metal, and they were often compared to Spanish bands like Sôber and Savia. However, starting with their third album, Ana y el Artista Temerario (2014), the group made a significant shift toward indie rock. <a href=""https://www.last.fm/music/Shinova"">Read more on Last.fm</a>",13819,509773,"['Supersubmarina', 'Vetusta Morla', 'Love of Lesbian', 'Second', 'Sexy Zebras']"
sød ven,"With a soundscape such as theirs, it’s no wonder why so many of their fans first think that they’re Nordic. If you close your eyes you'll almost feel as if you're floating through the Scandinavian Mountains. Surrounded by a blanket of orchestral vocal melodies, sweeping cellos and a pulsating key pattern you won't be able to help but feel something euphoric. <a href=""https://www.last.fm/music/s%C3%B8d+ven"">Read more on Last.fm</a>",38724,414601,"['Lissom', 'Chance Peña', 'John Vincent III', 'mehro', 'Black Match']"
mori,"Sergio Mayer Mori aka Mori is a Mexican singer-songwriter, multi-instrumentalist and producer <a href=""https://www.last.fm/music/Mori"">Read more on Last.fm</a>",57829,623672,"['Paloma Morphy', 'TRISTÁN!', 'The Army, The Navy', 'Gigi Perez', 'iuky']"
Eddie Berman,"Eddie Berman is an American folk artist based in Los Angeles. <a href=""https://www.last.fm/music/Eddie+Berman"">Read more on Last.fm</a>",105409,505326,"['Ocie Elliott', 'Beta Radio', 'Alexi Murdoch', 'William Fitzsimmons', 'The Milk Carton Kids']"
Yudi Saint X,"After collaborating with Lildami  on 'Valentina', Yudi Saint X (Terrassa, 1997) gave a hint of her own musical direction with the advance 'El ciclo de la vida'  to her first EP Selva, Hidden Track Records (2020). The seven track EP also features a collaboration with Sr. Chen: 'Veranoche'. <a href=""https://www.last.fm/music/Yudi+Saint+X"">Read more on Last.fm</a>",698,6743,"['Sr. Chen', ""Ven'nus"", 'Socunbohemio', 'Ouineta', 'Galgo Lento']"
Eyedress,"Idris Vicuña (born May 28, 1990), professionally recognized as Eyedress, is a Filipino solo musician. Raised in the Philippines, particularly an area he described as a ""ghetto,"" Eyedress began playing the guitar at a young age. He and his family moved to Phoenix, Arizona, where he was introduced to punk music. At age 13, he and his family moved to Orange County, California. There he joined the crust punk band Liberal Underground as a bassist. He moved back to the Philippines at age 15 with his family.  <a href=""https://www.last.fm/music/Eyedress"">Read more on Last.fm</a>",2170071,73635364,"['Mac DeMarco', 'TV Girl', 'late night drive home', 'paulie leparik', 'Lloyd Vaan']"
Javiera Mena,"Javiera Mena is a singer-songwriter from Santiago, Chile. whose music combines folk and pop with electronic elements.  In 2005 she first appeared in the Chilean indie scene, as some of her songs (""Sol de Invierno"" and ""Cámara Lenta"") were included in some compilations (Panorama Neutral: Música Independiente Desde Chile, and the soundtrack of the film Se arrienda, respectively). Her first full-length album, Esquemas juveniles, was released by the Argentine label Indice Virgen in August 2006. <a href=""https://www.last.fm/music/Javiera+Mena"">Read more on Last.fm</a>",156020,7992807,"['Alex Anwandter', 'Dënver', 'Marineros', 'Teleradio Donoso', 'Francisca Valenzuela']"
Foy Vance,"Foy Vance is a songsmith born in Bangor, County Down, who is now living in London. He released his first single ""Gabriel and the vagabond"" c/w with ""Indiscriminate Act of kindness"" on December 18th, 2006 on Wurdamouth Records. The songs ""Gabriel and the Vagabond"" and ""Homebird"" was featured in the second season of the US TV drama Grey's Anatomy and received an incredible response and demand to release the track as a single.

""Indiscriminate Act of Kindness"" <a href=""https://www.last.fm/music/Foy+Vance"">Read more on Last.fm</a>",349220,3038385,"['Roo Panes', 'Stu Larsen', 'Isaac Gracie', 'Noah Gundersen', 'Nick Mulvey']"
Love of Lesbian,"Love of Lesbian is a Spanish indie pop/indie rock band. 
In the beginning they were influenced by The Cure (they toured with them in Spain), Radiohead and R.E.M. Today they have the personal Love of Lesbian sound and style. There is always a ""sold out"" at all their concerts. Each one is a mix of party-concert-celebration-catharsis.
Santi Balmes, the writer, main composer, and charismatic leader brings to each album excellent lyrics of high composition, from a delicious sense of humour to deep emotional tales. <a href=""https://www.last.fm/music/Love+of+Lesbian"">Read more on Last.fm</a>",175551,11359972,"['Izal', 'Viva Suecia', 'Lori Meyers', 'Vetusta Morla', 'Supersubmarina']"
Funk.Shu," <a href=""https://www.last.fm/music/funk.shu"">Read more on Last.fm</a>",1155,3534,"['One t.w.o.', 'Defla', 'pjzero', 'SHHP', 'mellowmnd']"
Full Crate,"Full Crate is on the international forefront of progressive electronic music. The Red Bull Music Academy acknowledged his talents and invited him to Madrid in 2011 for two weeks worth of recording sessions, lectures by musical luminaries, and unforgettable late night jams (only 60 artists worldwide has received this invitation).

Since the release of the critically acclaimed ""Conversations With Her"" EP in 2010, with the vocalist Mar, the Amsterdam <a href=""https://www.last.fm/music/Full+Crate"">Read more on Last.fm</a>",193587,1238555,"['ESTA.', 'Jarreau Vandal', 'Phony Ppl', 'Sango', 'Juls']"
Dani Flaco,"Dani nació en el barrio de Bellvitge, en la ciudad barcelonesa de Hospitalet de Llobregat. Es hijo de padre murciano y de madre catalana. Una de sus pasiones desde bien pequeño, a parte de la música, era el fútbol, y jugó en el equipo de su barrio, la Unión Deportiva Unificación Bellvitge, y equipos como el Centre d'Esports L'Hospitalet y el RCD Espanyol se fijaron en él, pero una lesión frustró su carrera deportiva. Y ese percance le hizo centrarse plenamente en la música. <a href=""https://www.last.fm/music/Dani+Flaco"">Read more on Last.fm</a>",6740,94772,"['Rafa Pons', 'Gerard Quintana', 'Luis Ramiro', 'Adrià Puntí', 'Diego Cantero']"
León Benavente,"León Benavente is a Spanish indie rock band formed in 2012, born from the collaboration of four seasoned and well-respected musicians in the national scene. Abraham Boba, Luis Rodríguez, Eduardo Baos, and César Verdú, with experience in projects like Nacho Vegas's band, Tachenko, and Schwarz, came together to create their own unique sound. Their style is characterized by rock with dark 80s touches and a distinctive use of synthesizers.

Their self-titled debut <a href=""https://www.last.fm/music/+noredirect/Le%C3%B3n+Benavente"">Read more on Last.fm</a>",31775,863722,"['Viva Suecia', 'Sidonie', 'Lori Meyers', 'McEnroe', 'Love of Lesbian']"
Carl Brave x Franco126,"Carl Brave x Franco126 was a musical duo active from 2016 to 2019, a collaboration between the rapper Franco126, pseudonym of Federico Bertollini, and the rapper and record producer Carlo Luigi Coraggio, aka Carl Brave. The collaboration was born when Carl Brave approached the Trastevere collective 126 (or CXXVI), of which Franco126 is a member. <a href=""https://www.last.fm/music/CARL+BRAVE+X+FRANCO126"">Read more on Last.fm</a>",24569,682796,"['Frah Quintale', 'Coez', 'Ketama126', 'Gemitaiz', 'Bresh']"
Amber Mark,"Singer-songwriter/Producer Amber Mark's multifaceted and sophisticated pop sound is rooted in a wide range of inspirations soaked up from time spent in the U.S., India, Germany, Brazil, and Nepal. She began writing music as a way to work through the 2013 death of her mother and in 2016, while in her early twenties, released her first songs: ""Space,"" ""Monsoon"" (featuring her mother's voice), and ""Way Back."" The debut, supported by DJ Zane Lowe, left the biggest impact. <a href=""https://www.last.fm/music/Amber+Mark"">Read more on Last.fm</a>",528961,9837175,"['Nao', 'Hope Tala', 'Maeta', 'Jae Stephens', 'Victoria Monét']"
